epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.599765,0.278023,80.5963,91.4333,0.001
2,0.315985,0.196487,90.2815,94.1833,0.001
3,0.262682,0.170684,91.8481,94.8833,0.001
4,0.230801,0.153909,93.0111,95.3167,0.001
5,0.212148,0.146331,93.5241,95.6333,0.001
6,0.204703,0.156878,93.8037,95.1333,0.001
7,0.200311,0.131651,93.8741,96.2500,0.001
8,0.186487,0.147612,94.3148,95.6667,0.001
9,0.185879,0.143296,94.3796,95.4167,0.001
10,0.174573,0.121968,94.6407,96.1833,0.001
11,0.173428,0.129196,94.7000,96.0000,0.001
12,0.173898,0.122350,94.8222,96.5000,0.001
13,0.161073,0.119074,95.1926,96.3833,0.001
14,0.168256,0.109665,94.9944,96.6667,0.001
15,0.164118,0.110213,95.1667,97.0167,0.001
16,0.158231,0.118524,95.2630,96.8833,0.001
17,0.157790,0.108856,95.3759,96.4667,0.001
18,0.155398,0.111394,95.4704,96.6667,0.001
19,0.154228,0.100996,95.3556,97.0500,0.001
20,0.153221,0.107312,95.4630,96.9833,0.001
21,0.153871,0.113882,95.3500,96.8000,0.001
22,0.152028,0.108853,95.4241,96.9667,0.001
23,0.149098,0.107529,95.6222,97.1333,0.0005
24,0.125291,0.096970,96.2130,97.1333,0.0005
25,0.116492,0.093236,96.4241,97.2333,0.0005
26,0.111013,0.080022,96.7130,97.6833,0.0005
27,0.113622,0.080030,96.5296,97.7500,0.0005
28,0.108620,0.077565,96.6981,97.7500,0.0005
29,0.104957,0.079060,96.8352,97.6167,0.0005
30,0.106378,0.080938,96.7944,97.7500,0.0005
31,0.107098,0.077881,96.7241,97.7833,0.0005
32,0.106906,0.079551,96.8056,97.6667,0.00025
33,0.094214,0.075543,97.1444,97.9667,0.00025
34,0.092719,0.076496,97.1574,97.8833,0.00025
35,0.090842,0.073084,97.2722,97.9000,0.00025
36,0.089977,0.071239,97.2500,97.9667,0.00025
37,0.093646,0.069620,97.1593,97.9833,0.00025
38,0.085061,0.067942,97.3833,98.0000,0.00025
39,0.091242,0.075494,97.2593,97.8500,0.00025
40,0.088679,0.069172,97.4093,98.1333,0.00025
41,0.084653,0.065566,97.4148,98.0167,0.00025
42,0.083262,0.068706,97.3870,97.9000,0.00025
43,0.083624,0.072621,97.5019,97.8667,0.00025
44,0.085247,0.064296,97.3741,98.0167,0.00025
45,0.081580,0.068883,97.5963,98.1333,0.00025
46,0.081147,0.062606,97.5278,98.4000,0.00025
47,0.085067,0.075740,97.4185,97.9333,0.00025
48,0.082439,0.069372,97.5093,98.2000,0.00025
49,0.080736,0.068847,97.4278,97.9833,0.00025
50,0.080347,0.067888,97.5926,98.0500,0.000125
